Model,Service,Price,Warranty
iPhone 8 Plus,Защитное стекло,99,
iPhone 8 Plus,Диагностика (с ремонтом),бесплатно,
iPhone 8 Plus,Диагностика (без ремонта),бесплатно,
iPhone 8 Plus,Замена стекла (отдельно от дисплея),2159,6
iPhone 8 Plus,Замена дисплейного модуля (high copy),2699,6
iPhone 8 Plus,Замена дисплейного модуля (оригинал),4499,6
iPhone 8 Plus,Замена стекла задней крышки (корпуса),2159,6
iPhone 8 Plus,Корпус (оригинал),3599,6
iPhone 8 Plus,Чистка после попадания влаги,494,6
iPhone 8 Plus,Аккумулятор,1124,6
iPhone 8 Plus,Голосовой динамик,584,6
iPhone 8 Plus,Передняя камера,1124,6
iPhone 8 Plus,Полифонический динамик,899,6
iPhone 8 Plus,Задняя камера,2879,6
iPhone 8 Plus,Ремонт кнопки Home,899,6
iPhone 8 Plus,Вибро-звонок,1214,6
iPhone 8 Plus,Замена кнопки Power (включения),989,6
iPhone 8 Plus,Шлейф кнопок громкости,674,6
iPhone 8 Plus,Датчик приближения,1034,6
iPhone 8 Plus,Разъём зарядки-синхронизации,1169,6
iPhone 8 Plus,Микрофон,1034,6
iPhone 8 Plus,Контроллер зарядки U2 (USB-контроллер),1889,6
iPhone 8 Plus,Wi-Fi модуль,2339,6
iPhone 8 Plus,Wi-Fi антенна,1349,6
iPhone 8 Plus,"Рихтовка, выравнивание корпуса",494,6
iPhone 8 Plus,Рамка дисплея,629,6
iPhone 8 Plus,Подсветка дисплея,1124,6
iPhone 8 Plus,Перепрошивка,179,6
iPhone 8 Plus,Создание учетной записи Apple ID,179,6
iPhone 8 Plus,Перенос/резервное копирование данных,179,6
